player_name,age,player_height,draft_year,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,ovrdraftpick
James Cotton,22,195.58,1997,9,2.7,0.7,0.0,-36.2,0.061,0.121,0.332,0.481,0.0,1997,64
James Collins,24,193.04,1997,23,2.6,0.6,0.1,-13.0,0.058,0.067,0.251,0.482,0.056,1997,72
Jacque Vaughn,23,185.42,1997,45,3.1,0.8,1.9,2.9,0.012,0.086,0.218,0.457,0.315,1997,27
Jason Lawson,23,210.82,1997,17,1.5,1.6,0.3,7.4,0.104,0.345,0.111,0.67,0.083,1997,82
Johnny Taylor,24,205.74,1997,12,3.2,1.1,0.1,4.8,0.043,0.127,0.215,0.431,0.014,1997,17
John Thomas,22,205.74,1997,54,2.8,2.0,0.3,-2.6,0.099,0.133,0.145,0.552,0.05,1997,25
Jerald Honeycutt,23,205.74,1997,38,6.4,2.4,0.9,2.1,0.058,0.149,0.245,0.497,0.111,1997,76
Ed Gray,22,190.5,1997,30,7.6,1.5,1.1,-8.3,0.023,0.09,0.248,0.492,0.132,1997,22
Derek Anderson,23,195.58,1997,66,11.7,2.8,3.4,3.9,0.038,0.091,0.215,0.531,0.219,1997,13
God Shammgod,22,182.88,1997,20,3.1,0.4,1.8,-5.9,0.013,0.036,0.256,0.428,0.419,1997,90
Eric Washington,24,193.04,1997,66,7.7,1.9,1.2,-18.1,0.034,0.063,0.176,0.478,0.093,1997,92
Dirk Nowitzki,21,213.36,1998,47,8.2,3.4,1.0,-1.5,0.052,0.139,0.223,0.492,0.082,1998,9
Cory Carr,23,193.04,1998,42,4.1,1.2,1.6,-14.0,0.015,0.082,0.21,0.372,0.206,1998,98
Cuttino Mobley,23,193.04,1998,49,9.9,2.3,2.5,3.7,0.019,0.067,0.174,0.537,0.137,1998,82
J.R. Henderson,22,203.2,1998,30,3.2,1.6,0.7,-6.9,0.069,0.097,0.189,0.419,0.128,1998,112
Felipe Lopez,24,198.12,1998,47,9.3,3.5,1.3,-9.1,0.065,0.097,0.196,0.498,0.093,1998,24
Corey Benjamin,21,198.12,1998,30,3.9,1.3,0.3,-16.4,0.058,0.095,0.227,0.438,0.065,1998,28
Al Harrington,19,205.74,1998,21,2.1,1.9,0.2,-8.3,0.132,0.148,0.21,0.359,0.06,1998,25
Andrae Patterson,23,205.74,1998,35,3.3,1.9,0.4,-1.6,0.104,0.144,0.206,0.505,0.094,1998,92
Antawn Jamison,23,205.74,1998,47,9.6,6.4,0.7,-3.0,0.12,0.173,0.216,0.487,0.058,1998,4
Bonzi Wells,22,195.58,1998,7,4.4,1.3,0.4,-8.0,0.125,0.125,0.389,0.555,0.231,1998,11
Brian Skinner,23,205.74,1998,21,4.1,2.5,0.0,0.5,0.085,0.152,0.182,0.503,0.007,1998,22
Bruno Sundov,19,218.44,1998,3,1.3,0.0,0.3,-64.9,0.0,0.0,0.287,0.286,0.143,1998,70
Bryce Drew,24,190.5,1998,34,3.5,0.9,1.5,-1.2,0.008,0.073,0.171,0.445,0.193,1998,16
Casey Shaw,23,210.82,1998,9,0.2,0.3,0.0,-10.7,0.167,0.0,0.286,0.125,0.0,1998,74
Jahidi White,23,205.74,1998,20,2.5,2.9,0.1,-4.7,0.139,0.191,0.147,0.517,0.008,1998,86
Roshown McLeod,23,203.2,1998,34,4.8,1.5,0.4,-5.9,0.042,0.131,0.276,0.443,0.09,1998,20
Ruben Patterson,23,198.12,1998,24,2.7,1.3,0.1,-4.0,0.13,0.107,0.229,0.503,0.024,1998,62
Ryan Stack,23,210.82,1998,18,2.6,1.9,0.3,-19.4,0.117,0.094,0.14,0.513,0.045,1998,96
Sam Jacobson,23,193.04,1998,2,4.0,1.5,0.0,26.0,0.0,0.214,0.24,0.68,0.0,1998,26
Robert Traylor,22,203.2,1998,49,5.3,3.7,0.8,6.9,0.129,0.158,0.167,0.548,0.072,1998,6
Sean Marks,23,208.28,1998,8,1.4,0.1,0.0,-42.6,0.0,0.056,0.204,0.619,0.0,1998,88
Pat Garrity,22,205.74,1998,39,5.6,1.9,0.5,3.2,0.058,0.107,0.185,0.557,0.055,1998,19
Paul Pierce,21,200.66,1998,48,16.5,6.4,2.4,-2.0,0.079,0.134,0.232,0.54,0.121,1998,10
Raef LaFrentz,23,210.82,1998,12,13.8,7.6,0.7,-7.9,0.093,0.184,0.182,0.553,0.038,1998,3
Rasho Nesterovic,23,213.36,1998,2,4.0,4.0,0.5,2.9,0.086,0.25,0.187,0.311,0.045,1998,17
Ricky Davis,19,200.66,1998,46,4.5,1.8,1.3,0.2,0.09,0.091,0.233,0.462,0.186,1998,21
Rashard Lewis,19,208.28,1998,20,2.4,1.3,0.2,-13.5,0.085,0.085,0.22,0.404,0.047,1998,64
Tyronn Lue,22,182.88,1998,15,5.0,0.3,1.7,1.7,0.006,0.025,0.199,0.505,0.207,1998,23
Tyson Wheeler,23,177.8,1998,1,4.0,0.0,2.0,62.2,0.0,0.0,0.32,1.064,0.667,1998,94
Vladimir Stepania,23,213.36,1998,23,5.5,3.3,0.5,-6.2,0.101,0.166,0.244,0.445,0.065,1998,27
Vince Carter,22,200.66,1998,50,18.3,5.7,3.0,1.2,0.061,0.127,0.257,0.516,0.164,1998,5
Toby Bailey,23,198.12,1998,27,2.9,2.0,0.5,-7.3,0.101,0.146,0.185,0.425,0.083,1998,90
Shammond Williams,24,185.42,1998,2,1.5,0.0,0.5,-42.9,0.0,0.0,0.294,0.543,1.0,1998,68
Keon Clark,24,210.82,1998,28,3.3,3.4,0.4,-3.0,0.106,0.181,0.133,0.483,0.044,1998,13
Korleone Young,20,200.66,1998,3,4.3,1.3,0.3,26.9,0.143,0.154,0.341,0.597,0.125,1998,80
Jason Williams,23,185.42,1998,50,12.8,3.1,6.0,-1.4,0.008,0.08,0.186,0.483,0.243,1998,7
Jerome James,23,215.9,1998,16,1.5,1.1,0.1,-20.5,0.118,0.268,0.338,0.41,0.053,1998,72
Jelani McCoy,21,208.28,1998,26,5.1,3.0,0.2,-6.6,0.096,0.171,0.147,0.704,0.023,1998,66
Mike Bibby,21,187.96,1998,50,13.2,2.7,6.5,-9.6,0.02,0.072,0.215,0.487,0.343,1998,2
Michael Olowokandi,24,213.36,1998,45,8.9,7.9,0.6,-12.1,0.107,0.24,0.194,0.445,0.034,1998,1
Michael Doleac,22,210.82,1998,49,6.2,3.0,0.4,5.5,0.097,0.13,0.186,0.503,0.044,1998,12
Michael Dickerson,24,195.58,1998,50,10.9,1.7,1.9,4.4,0.021,0.039,0.169,0.554,0.101,1998,14
Matt Harpring,23,200.66,1998,50,8.2,4.3,0.9,-0.3,0.09,0.14,0.184,0.533,0.072,1998,15
Miles Simon,23,190.5,1998,5,0.4,0.4,0.0,-29.2,0.071,0.059,0.208,0.2,0.0,1998,84
Larry Hughes,20,195.58,1998,50,9.1,3.8,1.5,1.1,0.093,0.126,0.246,0.474,0.15,1998,8
